Law Name,Country,Image,Type of Law,Law ID,Promulgated,Most Recent Amendment,Original Law,Translation Available,Translation
Constitution,Tunisia,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Tunisia.png,Constitution,,2014,,http://www.anc.tn/site/main/AR/docs/constit_proj_26012014.pdf,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9UUQ4SklTUXFRNlE&authuser=1
Constitution,Qatar,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Qatar.png,Constitution,,2003,,https://drive.google.com/file/d/0B5CY0qNNVULxNjVhV3FhaUhFT0k/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9VE1vQlpPcW1HT0k&authuser=1
Constitution,Syria,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Syria.png,Constitution,,2012,,http://www.voltairenet.org/article173035.html,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9VnZaekV0UV8tTFE&authuser=1
Constitution,Egypt,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Egypt.png,Constitution,,2014,,http://egelections-2011.appspot.com/Dostour/Dostour_update2013.pdf,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9WFF6NV9FS0RyLVE&authuser=1
Basic statute of the state,Oman,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Oman.png,Constitution,101,1996,2011,http://www.wipo.int/wipolex/en/text.jsp?file_id=180953,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9WFRaMFBMelBiMEE&authuser=1
Constitution,Libya,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Libya.png,Constitution,,2011,,https://drive.google.com/file/d/0B5CY0qNNVULxazUtQmVpcG1EZjA/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9ZWJORFFPdzZSSVE&authuser=1
Protection of copyright law,Jordan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Jordan.png,Copyright/Intellectual Property,22,1992,2005,http://www.wipo.int/wipolex/en/text.jsp?file_id=222632,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9aWNMbUJvVS1fOE0&authuser=1
Copyright law,Libya,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Libya.png,Copyright/Intellectual Property,9,1968,,https://drive.google.com/file/d/0B5CY0qNNVULxWDJ5Z3RCWVM0NUE/view,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9bExsc01oVGFUSUU&authuser=0
Copyright and related right,UAE,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_the_UAE.png,Copyright/Intellectual Property,32,2002,2006,https://drive.google.com/file/d/0B5CY0qNNVULxMkcxNDdUb2lhQVE/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9cERYcGxtbFZFekU&authuser=1
Intellectual property law,Lebanon,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Lebanon.png,Copyright/Intellectual Property,75,1999,,http://www.wipo.int/wipolex/en/text.jsp?file_id=180073,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9cTg4Q3pCWjk1Z2M&authuser=1
Copyright and neighboring rights law,Algeria,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Algeria.png,Copyright/Intellectual Property,03-05,2003,,https://drive.google.com/file/d/0B5CY0qNNVULxcmxuaF82aHg2LWc/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9dHJJR0pyQzhndkk&authuser=1
Copyrights and neighboring rights law,Bahrain,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Bahrain.png,Copyright/Intellectual Property,22,2006,,https://drive.google.com/file/d/0B5CY0qNNVULxU3o0SzNDejNCMHc/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9eHltWGp3MXNoWEk&authuser=1
Literary and artistic property,Tunisia,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Tunisia.png,Copyright/Intellectual Property,33,2009,,http://www.wipo.int/wipolex/en/text.jsp?file_id=203383,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9LXhLbWhESnhkblE&authuser=1
Copyright law ,Kuwait,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Kuwait.png,Copyright/Intellectual Property,64,1999,,https://drive.google.com/open?id=0B5CY0qNNVULxSWVfZ1J4anVreW8&authuser=1,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9MlVKZFBwNTdNVHM&authuser=1
Copyright and neighboring right protection act,Sudan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Sudan.png,Copyright/Intellectual Property,,1996,,https://drive.google.com/file/d/0B5CY0qNNVULxNUdoQU1LX0c0dzQ/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9N2RPd1RxTDMzRWM&authuser=1
Industrial property rights,Oman,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Oman.png,Copyright/Intellectual Property,67,2008,,https://drive.google.com/file/d/0B_-P9ctecZkIMUM5eDM2aEVzQ2M/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9NjdaTmV5VjBlOXM&authuser=1
Copyright and related rights,Morocco,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Morocco.png,Copyright/Intellectual Property,34.05,2000,2006,https://drive.google.com/file/d/0B5CY0qNNVULxRFFNdGozaTBZb1k/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9NnhuVmhYaExUdGc&authuser=1
Law of copyrights and neighboring right,Oman,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Oman.png,Copyright/Intellectual Property,65,2008,,https://drive.google.com/file/d/0B_-P9ctecZkIUXE3UG4zQVlmMGs/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9NUlwSEliRl85NFk&authuser=1
Copyright protection,Jordan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Jordan.png,Copyright/Intellectual Property,22,1992,2014,https://drive.google.com/file/d/0B5CY0qNNVULxYnRDMDdORUx1dDg/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9OHBQZVlQYURsdTQ&authuser=1
Intellectual property law,Yemen,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Yemen.png,Copyright/Intellectual Property,19,1994,,https://docs.google.com/file/d/0B7ZAwaIJmqRJUjhyMFhpNjE2Yjg/edit?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9QVBEVTJKcW12eU0&authuser=1
Copyright law,Syria,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Syria.png,Copyright/Intellectual Property,12,2001,,http://www.wipo.int/wipolex/en/text.jsp?file_id=242006,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9Rmk1UTZMNXQ0eWM&authuser=1
Intellectual property law,Saudi Arabia,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Saudi_Arabia.png,Copyright/Intellectual Property,41,2003,,https://drive.google.com/file/d/0B5CY0qNNVULxNFN1TkZMdFlxQ2s/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9RXVtUmVxLUt1SzQ&authuser=1
Copyright law,Iraq,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Iraq.png,Copyright/Intellectual Property,83,2004,1971,http://www.wipo.int/wipolex/en/text.jsp?file_id=238234,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9S0NiLUxfaDNzWm8&authuser=1
Protection of intellectual property rights,Egypt,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Egypt.png,Copyright/Intellectual Property,82,2002,,http://www.wipo.int/wipolex/en/text.jsp?file_id=182881,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9Tk00S0s4c2h5UTQ&authuser=1
Protection of copyrights and neighboring right,Qatar,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Qatar.png,Copyright/Intellectual Property,7,2002,,https://drive.google.com/file/d/0B5CY0qNNVULxbWNCQTVJR3VKRXM/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9VmVhM3YtZzlNVEk&authuser=1
Intellectual property law,Libya,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Libya.png,Copyright/Intellectual Property,9,1984,,https://drive.google.com/file/d/0B5CY0qNNVULxT1V1LUNIcXRxWE0/view,No,http://www.smex.org/help_smex_find_this_law/
,Oman,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Oman.png,Copyright/Intellectual Property,70,1977,,https://drive.google.com/file/d/0B5CY0qNNVULxWGRseUthZzYwZ1k/view?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Intellectual property law,Palestine,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Palestine.png,Copyright/Intellectual Property,16,1924,,https://drive.google.com/file/d/0B5CY0qNNVULxTlI2d1c4UjVZQ1U/view?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Literary and artistic works act,Sudan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Sudan.png,Copyright/Intellectual Property,,2001,,https://drive.google.com/a/smex.org/file/d/0B5CY0qNNVULxcHZqLU8tYUVtR3c/view?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Information security,Tunisia,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Tunisia.png,Data Protection,5,2004,,http://www.scribd.com/doc/186895934/%D8%AA%D9%88%D9%86%D8%B3-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%A7%D9%84%D9%82%D8%A7%D9%86%D9%88%D9%86-%D8%B9%D8%AF%D8%AF-5-%D9%84%D8%B3%D9%86%D8%A9-2004-%D8%A7%D9%84%D9%85%D8%AA%D8%B9%D9%84%D9%82-%D8%A8%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85%D8%A9-%D8%A7%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A7%D8%AA%D9%8A%D8%A9,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9aTRGVWU4aHdmQTQ&authuser=1
Protection of personal data,Tunisia,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Tunisia.png,Data Protection,63,2004,,http://www.legislation.tn/detailtexte/Loi-num-2004-63-du-27-07-2004-jort-2004-061__2004061000631?shorten=aCmh,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9Z3dyc09aejdhbnc&authuser=1
E-signature law,Saudi Arabia,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Saudi_Arabia.png,E-Transaction,8,2007,,https://drive.google.com/file/d/0B5CY0qNNVULxS0FYWklUUzl4QlE/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9aTRfeVlVTmttTmM
E-transaction law,Bahrain,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Bahrain.png,E-Transaction,28,2012,,https://drive.google.com/open?id=0B9TuDG1IVpj9eUZFdWtEVkQ5UWs&authuser=1,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9cmQ2a1U4U0dXUTg&authuser=1
E-transaction law,Morocco,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Morocco.png,E-Transaction,53-05,2007,,https://drive.google.com/file/d/0B5CY0qNNVULxYVNUWVB3UEFvY2M/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9cWVDZUxqRjg5TVk&authuser=1
E-transaction signature law,Egypt,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Egypt.png,E-Transaction,109,2005,,https://docs.google.com/document/d/1PjGGyODtlE2sTJcms6Ufd5mhCVc1Oj6SrTELUWdKZf8/pub,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9MHkyTVpSMkItQ00&authuser=1
E-transactions law,Oman,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Oman.png,E-Transaction,69,2008,,https://drive.google.com/a/smex.org/file/d/0B_-P9ctecZkITDIyNTR5TW5ZbWc/edit,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9Mmk3NGpXWEppR2c&authuser=1
E-transactions law,Kuwait,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Kuwait.png,E-Transaction,20,2014,,https://drive.google.com/file/d/0B5CY0qNNVULxVjVCS2Jwd2p4ZDA/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9RnRRLWM1YmpvZW8&authuser=1
Electronic commerce and transaction law,Qatar,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Qatar.png,E-Transaction,16,2010,,https://drive.google.com/a/smex.org/file/d/0B5CY0qNNVULxUE5SaG1oSzBDSG8/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9TEkwcVBocDdscEk&authuser=1
E-transactions act,Sudan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Sudan.png,E-Transaction,,2007,,https://drive.google.com/file/d/0B5CY0qNNVULxV3F3enhoQmdTejQ/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9YXBRVXpXM0dtWlk&authuser=1
E-signature law,Iraq,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Iraq.png,E-Transaction,78,2012,,https://docs.google.com/document/d/1uafq_hOir55Q_UKr4yI9MdrO_FmcQ95ia_HeDbJwf5c/edit?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
E-transactions law,Lebanon,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Lebanon.png,E-Transaction,,2010,,http://www.scribd.com/doc/119395264/draft-E-transactions-law-Final,No,http://www.smex.org/help_smex_find_this_law/
Digital signature,Syria,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Syria.png,E-Transaction,4,2009,,http://www.moct.gov.sy/moct/?q=ar/node/69,No,http://www.smex.org/help_smex_find_this_law/
Electronic transaction and payment,Yemen,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Yemen.png,E-Transaction,40,2006,,https://drive.google.com/file/d/0B5CY0qNNVULxMWVEQ3lIM1A4bjQ/view?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Media law,Algeria,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Algeria.png,Media/Press/Publication,11-427,2011,,https://drive.google.com/file/d/0B5CY0qNNVULxM3gzWGVuNGpjd2c/view?usp=sharing,Yes,http://www.joradp.dz/FTP/jo-francais/2011/F2011068.pdf
Publication law,Iraq,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Iraq.png,Media/Press/Publication,78,1977,,https://docs.google.com/document/d/120NMwD5jyMuO5Qg4m51fJZ6Sbh-4WvniUEedKFG9igw/edit#,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9aDlVX09nWmYwREU&authuser=1
Regulation and organization of journalism and press functions,Egypt,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Egypt.png,Media/Press/Publication,96,1996,,https://docs.google.com/a/smex.org/file/d/0B5CY0qNNVULxYTZ4QV81Nk02Z2s/edit,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9cHRTa1VqNGNyMkk&authuser=1
Press and publications,Yemen,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Yemen.png,Media/Press/Publication,25,1990,,https://drive.google.com/file/d/0B5CY0qNNVULxaFk3TEFtS1BzeTA/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9dEJxOHZvdmVjZ2c&authuser=1
Press and publications law,Kuwait,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Kuwait.png,Media/Press/Publication,3,1968,2006,https://docs.google.com/document/d/120NMwD5jyMuO5Qg4m51fJZ6Sbh-4WvniUEedKFG9igw/edit#,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9RlFoMm1vZTFFZnM&authuser=1
Publications and publishing law,UAE,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_the_UAE.png,Media/Press/Publication,15,1980,,https://drive.google.com/file/d/0B5CY0qNNVULxdUxIZ0hXUXIwVTA/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9RXpMLUJwT3k2aTg&authuser=1
"Regarding organizing the press, printing and publishing",Bahrain,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Bahrain.png,Media/Press/Publication,47,2002,,https://drive.google.com/file/d/0B5CY0qNNVULxRFdMY082WEx5UG8/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9SlplTWJlMkxuOG8&authuser=1
Press and publications law,Oman,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Oman.png,Media/Press/Publication,49,1984,,https://drive.google.com/file/d/0B5CY0qNNVULxM0ZUZ2wySFFvLW8/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9T0JnclhWdlZXTzA&authuser=1
Press and publication law ,Jordan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Jordan.png,Media/Press/Publication,21,1998,2012,http://www.ammanchamber.org.jo/Uplaoded/PRNews/985.pdf,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9Tm84a1ZSZDFyNmc&authuser=1
"Liberty of press, printing and publication",Tunisia,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Tunisia.png,Media/Press/Publication,115,2011,,http://www.scribd.com/doc/186898087/%D8%AA%D9%88%D9%86%D8%B3-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D9%85%D8%B1%D8%B3%D9%88%D9%85-%D8%B9%D8%AF%D8%AF-115-%D9%84%D8%B3%D9%86%D8%A9-2011-%D9%8A%D8%AA%D8%B9%D9%84%D9%82-%D8%A8%D8%AD%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%B5%D8%AD%D8%A7%D9%81%D8%A9-%D9%88%D8%A7%D9%84%D8%B7%D8%A8%D8%A7%D8%B9%D8%A9-%D9%88%D8%A7%D9%84%D9%86%D8%B4%D8%B1,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9UmRhN19TUDU4ZDQ&authuser=1
Prints and publication,Qatar,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Qatar.png,Media/Press/Publication,8,1979,,https://drive.google.com/a/smex.org/file/d/0B5CY0qNNVULxa1JpYUJxMkk5UGc/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9VnJVSm5IZVViSHM&authuser=1
Press and publication law,Morocco,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Morocco.png,Media/Press/Publication,1.02.207,1958,2002,http://www.mincom.gov.ma/media/k2/attachments/___102207___25__1423_3__2002____.pdf,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9WHBxejJ3Uk11MTA&authuser=1
Law of printed materials and publication,Saudi Arabia,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Saudi_Arabia.png,Media/Press/Publication,32,2000,,https://drive.google.com/a/smex.org/file/d/0B5CY0qNNVULxaGpvaTVoSFpBaEU/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9Ynp5bTVDeTdhdXc&authuser=1
Publications law,Egypt,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Egypt.png,Media/Press/Publication,20,1936,,https://docs.google.com/a/smex.org/file/d/0B5CY0qNNVULxSVkyTHMwOHZSLTA/edit,No,http://www.smex.org/help_smex_find_this_law/
Law to protect journalists,Iraq,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Iraq.png,Media/Press/Publication,21,2011,,https://docs.google.com/document/d/1HHeIBVqZx7p4KzieF__j-umfs1imt_ed7ECEuALMphM/edit?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Publication law,Lebanon,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Lebanon.png,Media/Press/Publication,121,1983,1995,https://docs.google.com/document/d/1Ik9Cuc40CzvMX-M0cn7A9VVVwd8i2FGhZxihKiZOcSQ/edit,No,http://www.smex.org/help_smex_find_this_law/
Media law,Lebanon,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Lebanon.png,Media/Press/Publication,,Draft,,http://www.scribd.com/doc/44103348/%D8%A5%D9%82%D8%AA%D8%B1%D8%A7%D8%AD-%D9%82%D8%A7%D9%86%D9%88%D9%86,No,http://www.smex.org/help_smex_find_this_law/
Media freedom law,Mauritania,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Mauritania.png,Media/Press/Publication,23,1991,,https://drive.google.com/file/d/0B5CY0qNNVULxaGp4NW81RkNIZ0k/view?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Publication law,Palestine,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Palestine.png,Media/Press/Publication,9,1995,,https://drive.google.com/file/d/0B5CY0qNNVULxQlRueUF1X1YtcDg/view?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Media and publication law,Sudan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Sudan.png,Media/Press/Publication,,2009,,https://drive.google.com/file/d/0B5CY0qNNVULxbDRvZDYtNEZ5eW8/view?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Media law,Syria,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Syria.png,Media/Press/Publication,108,2011,,http://www.nmc.sy/nmc/public/media-law,No,http://www.smex.org/help_smex_find_this_law/
