Law Name,Country,Image,Type of Law,Law ID,Promulgated,Most Recent Amendment,Original Law,Translation Available,Translation
Penal code,Tunisia,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Tunisia.png,Penal Code,106,2011,,http://ar.jurispedia.org/index.php/%D9%82%D8%A7%D9%86%D9%88%D9%86_%D8%A7%D9%84%D8%B9%D9%82%D9%88%D8%A8%D8%A7%D8%AA_(eg)/%D8%A7%D9%84%D9%83%D8%AA%D8%A7%D8%A8_%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB_:_%D8%A7%D9%84%D8%AC%D9%86%D8%A7%D9%8A%D8%A7%D8%AA_%D9%88%D8%A7%D9%84%D8%AC%D9%86%D8%AD_%D8%A7%D9%84%D8%AA%D9%89_%D8%AA%D8%AD%D8%B5%D9%84_%D9%84%D8%A7%D8%AD%D8%A7%D8%AF_%D8%A7%D9%84%D9%86%D8%A7%D8%B3,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9WEhDUWQzRl94SkE&authuser=1
Penal code,Jordan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Jordan.png,Penal Code,16,1960,2011,https://docs.google.com/file/d/0B3vVT8DMycrfQmhSQ0Z4VS1haGM/edit?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9ZUZSN181d3BTbHM&authuser=1
Penal code,Lebanon,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Lebanon.png,Penal Code,340,1943,,https://docs.google.com/a/smex.org/file/d/0B_-P9ctecZkIUU5VWk9OTzRkZW8/edit,No,http://www.smex.org/help_smex_find_this_law/
Penal code,Kuwait,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Kuwait.png,Penal Code,16,1960,,http://www.gcc-legal.org/lawAsPDF.aspx?opt&country=0&lawID=1064,No,http://www.smex.org/help_smex_find_this_law/
Penal code,Syria,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Syria.png,Penal Code,148,1949,,https://docs.google.com/a/smex.org/file/d/0B_-P9ctecZkIWVpmUkZINVJ3bms/edit?usp=drive_web,No,http://www.smex.org/help_smex_find_this_law/
Privacy law,Morocco,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Morocco.png,Privacy,9,2009,,https://drive.google.com/file/d/0B5CY0qNNVULxM2pxODVkVWhUR2s/view?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Law on the censorship of works and artistic composition,Oman ,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Oman.png,Surveillance,65,1997,,https://drive.google.com/file/d/0B5CY0qNNVULxcXN5dEs0cFJzamc/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9NmU0SEN6N0NjWlU&authuser=1
Creation of the technical agency of telecommunication,Tunisia,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Tunisia.png,Surveillance,4506,2013,,http://www.legislation-securite.tn/sites/default/files/files/lois/D%C3%A9cret%20n%C2%B0%202013-4506%20du%206%20Novembre%202013%20%28Ar%29.pdf,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9NU9qSXF1STExWTA&authuser=1
Eavesdropping law,Lebanon,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Lebanon.png,Surveillance,140,1999,,https://docs.google.com/document/d/1o6hLEULa8T7w34J6i3TfV5S2_lRhGK6fkL8iN9GlbJE/edit,No,http://www.smex.org/help_smex_find_this_law/
Telecommunication law,Tunisia,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Tunisia.png,Telecommunication,1,2001,,http://www.scribd.com/doc/186897402/%D8%AA%D9%88%D9%86%D8%B3-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D9%82%D8%A7%D9%86%D9%88%D9%86-%D9%85%D8%AC%D9%84%D8%A9-%D8%A7%D9%84%D8%A7%D8%AA%D8%B5%D8%A7%D9%84%D8%A7%D8%AA-%D9%84%D8%B3%D9%86%D8%A9-2001,Yes,https://drive.google.com/drive/u/1/folders/0B9TuDG1IVpj9fnJweHJIdXRDXy1xeTlMRnF1V0NSSFBWamxyWDgyQVJ4Z2NCclp6R0VzdFk
Telecommunication law,Syria,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Syria.png,Telecommunication,18,2010,,https://drive.google.com/a/smex.org/file/d/0B5CY0qNNVULxX1ZOSVdiREdEYUU/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9amYyZlJtWXE0T1E&authuser=1
Telecommunication law,Mauritania,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Mauritania.png,Telecommunication,11,1999,,,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9c1lEd3FsWVNBQTA&authuser=1
Telecommunication law,Algeria,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Algeria.png,Telecommunication,03,2000,,https://drive.google.com/file/d/0B5CY0qNNVULxUWd6ci03SWFZSTA/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9ellPdXFaejh2d00&authuser=1
Telecommunication law,UAE,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_the_UAE.png,Telecommunication,3,2003,,https://drive.google.com/file/d/0B5CY0qNNVULxdlZUVk5TQ2NJQkk/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9MGdNMldJSlJ4UUk&authuser=1
Telecommunication regulation law,Egypt,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Egypt.png,Telecommunication,10,2003,,https://docs.google.com/a/smex.org/file/d/0B5CY0qNNVULxNmJGRXI5Z3E2cE0/edit,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9Mkl5aVhOMzlkcG8&authuser=1
Telecom act,Saudi Arabia,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Saudi_Arabia.png,Telecommunication,74,2001,,https://drive.google.com/a/smex.org/file/d/0B5CY0qNNVULxYndKc3Z4OHEySUU/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9Nk9NNWJwek95TUE&authuser=1
Telecommunication corporation act,Sudan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Sudan.png,Telecommunication,,2001,2004,https://drive.google.com/file/d/0B5CY0qNNVULxY1RWc1FFVFIta2M/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9QmlULWNSemVDUFk&authuser=1
Telecommuncation law,Bahrain,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Bahrain.png,Telecommunication,48,2002,,https://drive.google.com/file/d/0B5CY0qNNVULxb2p2VW9icEhiWWs/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9RHR5WmREQjMybTA&authuser=1
Telecommunication ,Jordan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Jordan.png,Telecommunication,13,1995,2011,https://docs.google.com/file/d/0B3vVT8DMycrfSXVJV1RDTEJOaTQ/edit?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9RTJIeG5fMVA1Snc&authuser=1
Telecommunication law,Lebanon,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Lebanon.png,Telecommunication,431,2002,,https://docs.google.com/a/smex.org/file/d/0B_-P9ctecZkIajBDbjdRTm9GUVE/edit,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9TDhjY3I1Q1FsQjQ&authuser=1
"Postal service act, telegraph and telephone",Iraq,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Iraq.png,Telecommunication,81,1963,2013,https://docs.google.com/document/d/1c2c098FFpMX70QmlJHEJeD2KwTdzm_e75-Gx1RAhFKQ/edit?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9TjFIZWc1MHFfeFU&authuser=1
Telecommunications and regulatory act,Oman,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Oman.png,Telecommunication,30,2002,,http://www.mola.gov.om/Download.aspx?Lid=89,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9UFlUWFQ3NEc1bFU&authuser=1
Telecommunication law,Palestine,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Palestine.png,Telecommunication,3,1996,,https://drive.google.com/file/d/0B5CY0qNNVULxNzNVRDNpRHQ0d00/view?usp=sharing,Yes,https://drive.google.com/open?id=0B9TuDG1IVpj9WU9MbGItaHQ4Zlk&authuser=1
Private communication commision,Jordan,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Jordan.png,Telecommunication,7,1979,,https://drive.google.com/file/d/0B5CY0qNNVULxTVJqWm5iOVllcGM/view?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Telecommunication law,Libya,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Libya.png,Telecommunication,8,1990,,https://drive.google.com/file/d/0B5CY0qNNVULxczF1SHZMSXFPM2M/view?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
The public authority for radio and television,Oman,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Oman.png,Telecommunication,108,2010,,https://drive.google.com/file/d/0B5CY0qNNVULxZ2RZVTBNNVVzcms/view?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
Telecommunication law,Yemen,http://www.smex.org/wp-content/uploads/2015/08/Flag_of_Yemen.png,Telecommunication,38,1991,,https://docs.google.com/file/d/0B7ZAwaIJmqRJaDQwLUpWel82bjg/edit?usp=sharing,No,http://www.smex.org/help_smex_find_this_law/
